beta,observation_percentage,noise_mode,noise_rate,trials,accuracy,mean_true_goal_rank,std_true_goal_rank,mean_true_goal_probability,std_true_goal_probability,mean_noisy_observation_length,mean_dropped_actions,mean_corrupted_actions,mean_inserted_actions,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci95_half_width
0.5,0.25,mixed,0.3,50,0.28,2.52,1.1471348514219846,0.16945450437357615,0.12090335468378664,3.32,2.46,0.66,1.32,0.15554385832752168,0.40445614167247834,0.12445614167247833
1.0,0.25,mixed,0.3,50,0.28,2.52,1.1471348514219846,0.1690615451504869,0.12914393720347528,3.32,2.46,0.66,1.32,0.15554385832752168,0.40445614167247834,0.12445614167247833
2.0,0.25,mixed,0.3,50,0.28,2.52,1.1471348514219846,0.1686210968865333,0.1511111035235774,3.32,2.46,0.66,1.32,0.15554385832752168,0.40445614167247834,0.12445614167247833
5.0,0.25,mixed,0.3,50,0.28,2.52,1.1471348514219846,0.16834827299467142,0.18161768587854113,3.32,2.46,0.66,1.32,0.15554385832752168,0.40445614167247834,0.12445614167247833
10.0,0.25,mixed,0.3,50,0.28,2.52,1.1471348514219846,0.1683334342205394,0.184018765399838,3.32,2.46,0.66,1.32,0.15554385832752168,0.40445614167247834,0.12445614167247833
0.1,0.25,none,0.0,50,0.26,2.52,1.129204162592543,0.135,0.12586435847647212,4.46,0.0,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
0.25,0.25,none,0.0,50,0.26,2.52,1.129204162592543,0.135,0.12586435847647212,4.46,0.0,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
0.5,0.25,none,0.0,50,0.26,2.52,1.129204162592543,0.135,0.12586435847647212,4.46,0.0,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
1.0,0.25,none,0.0,50,0.26,2.52,1.129204162592543,0.135,0.12586435847647212,4.46,0.0,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
2.0,0.25,none,0.0,50,0.26,2.52,1.129204162592543,0.135,0.12586435847647212,4.46,0.0,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
