beta,observation_percentage,noise_mode,noise_rate,trials,accuracy,mean_true_goal_rank,std_true_goal_rank,mean_true_goal_probability,std_true_goal_probability,mean_noisy_observation_length,mean_dropped_actions,mean_corrupted_actions,mean_inserted_actions,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci95_half_width
0.1,0.25,mixed,0.2,50,0.46,2.24,1.5591729885305432,0.17845459303360087,0.015388999387510762,0.94,0.24,0.14,0.18,0.3218512801362242,0.5981487198637758,0.1381487198637758
0.25,0.25,mixed,0.2,50,0.46,2.24,1.5591729885305432,0.197133974026399,0.03986274565686194,0.94,0.24,0.14,0.18,0.3218512801362242,0.5981487198637758,0.1381487198637758
0.5,0.25,mixed,0.2,50,0.46,2.24,1.5591729885305432,0.2290886763782841,0.08161925869464418,0.94,0.24,0.14,0.18,0.3218512801362242,0.5981487198637758,0.1381487198637758
1.0,0.25,mixed,0.2,50,0.46,2.24,1.5591729885305432,0.2838543902286016,0.15146913887173588,0.94,0.24,0.14,0.18,0.3218512801362242,0.5981487198637758,0.1381487198637758
2.0,0.25,mixed,0.2,50,0.46,2.24,1.5591729885305432,0.33064231624063917,0.20927026868887452,0.94,0.24,0.14,0.18,0.3218512801362242,0.5981487198637758,0.1381487198637758
5.0,0.25,mixed,0.2,50,0.46,2.24,1.5591729885305432,0.33997594026307154,0.22066837592521946,0.94,0.24,0.14,0.18,0.3218512801362242,0.5981487198637758,0.1381487198637758
10.0,0.25,mixed,0.2,50,0.46,2.24,1.5591729885305432,0.3399999989075886,0.22069771726308712,0.94,0.24,0.14,0.18,0.3218512801362242,0.5981487198637758,0.1381487198637758
0.1,0.25,mixed,0.3,50,0.3,2.74,1.6011475476631611,0.1709984891010598,0.014417818769256279,0.82,0.4,0.26,0.22,0.17297748231120594,0.42702251768879407,0.12702251768879408
0.25,0.25,mixed,0.3,50,0.3,2.74,1.6011475476631611,0.17781892139753683,0.03738210035889144,0.82,0.4,0.26,0.22,0.17297748231120594,0.42702251768879407,0.12702251768879408
0.5,0.25,mixed,0.3,50,0.3,2.74,1.6011475476631611,0.18954159448825325,0.07651922083955874,0.82,0.4,0.26,0.22,0.17297748231120594,0.42702251768879407,0.12702251768879408
